sortimento;layout;conforto;preço;reposição;desconto;limpeza;atendimento
5,8;6,14;6,01;4,58;4,56;6,25;5,72;3,07
6,09;5,96;6,85;4,01;5,31;5,84;6,14;2,34
6,18;6,88;6,23;4,81;4,58;6,36;5,25;1,31
5,83;5,79;6,49;4,42;4,98;6,39;6,28;1,46
5,71;5,44;6,18;4,1;5,08;5,96;5,37;2,05
5,64;5,81;6,01;4,54;4,56;6,11;5,81;2,19
5,49;5,12;6,17;3,12;4,95;4,15;6,12;1,17
5,73;5,7;6,28;4,09;4,87;6,01;5,4;1,9
7,23;7,86;7,14;4,53;5,7;5,85;6,78;4,24
8,64;8,89;8,45;2,89;7,5;4,01;8,34;1,61
5,86;6,29;6,3;4,4;4,54;5,86;6,03;1,46
6,12;5,78;6,81;3,79;5,55;5,63;6,08;2,49
5,82;5,81;6,09;4,21;4,93;5,77;5,12;1,31
6,68;7,35;7,29;4,48;5,11;5,62;7,02;1,9
5,44;5,47;6;4,15;4,5;5,87;5,93;0,43
6,2;6,67;6,18;4,35;4,83;5,4;5,67;2,78
5,83;6,23;5,93;4,09;4,52;5,33;5,87;2,63
5,41;4,95;5,92;3,56;4,97;5,35;5,83;1,02
6,29;6,28;6,45;4,34;5,39;6,22;5,49;3,95
6,13;6,67;5,93;3,74;4,69;4,78;5,19;0,43
5,48;5,52;6,14;4,43;4,53;6,24;5,71;1,17
5,17;4,94;5,88;3,99;4,51;5,77;5,51;2,78
6,07;6,31;6,31;4,19;4,92;5,35;5,93;1,31
5,77;6,04;6,01;4,17;4,6;6,03;5,04;1,31
5,6;5,79;6,09;4,52;4,52;6,14;5,66;0,29
5,25;5,05;5,98;4,13;4,54;5,86;5,63;1,02
5,71;6,02;6,25;4,16;4,5;5,56;5,63;0,87
6,11;6,82;6,11;4,94;4,51;6,43;5,13;0,73
5,16;4,92;5,86;4,19;4,49;5,98;5,38;2,19
5,82;6,19;6;3,95;4,56;5,09;5,91;1,46
6,33;6,11;6,24;2,78;5,64;3,94;5,85;0,43
5,7;5,4;6,24;3,55;5,11;5,43;5,93;1,75
6,33;6,61;7,62;4,54;5,15;5,66;7,43;2,34
6,42;7,26;6,54;5,08;4,67;6,6;5,59;0,87
5,55;5,62;5,98;3,79;4,59;4,88;5,39;0,87
5,52;5,54;6,1;4,09;4,59;5,4;5,1;1,31
5,41;5,43;5,86;3,71;4,48;4,86;5,47;0,43
6,37;6,97;6,53;4,69;4,87;6,06;5,83;1,46
5,42;5,39;5,89;4,28;4,55;5,8;5,45;1,61
5,54;5,68;6,01;4,23;4,51;5,59;5,97;0,29
5,92;6,1;6,53;4,41;4,83;5,88;6,13;1,02
5,51;5,46;5,95;3,72;4,65;5,19;5,75;0,87
6,32;6,73;5,97;3,79;5;5,51;5,67;0,43
5,86;6,35;6,01;4,65;4,47;6,18;5,59;1,02
7,56;7,77;7,19;3,23;6,45;4,65;6,43;1,46
6,05;6,69;5,94;4,31;4,52;5,89;5,49;0,58
5,76;5,65;6,7;3,83;4,96;5,11;6,43;0,43
5,28;5,14;5,98;4,23;4,53;5,66;5,35;2,49
5,4;5,36;6,15;3,95;4,55;5,6;5,15;0,87
5,66;5,85;6,13;4,21;4,57;5,6;6;0,73
5,63;5,26;6,36;3,74;5,11;5,38;5,45;2,34
7,5;7,22;6,6;2,11;6,88;3,57;6,03;2,05
6,06;6,45;6,44;4,71;4,76;6,21;6,02;1,17
5,41;5,26;6,16;4,26;4,65;5,5;5,35;2,34
5,94;5,95;5,96;3,99;5,03;5,59;5,15;2,34
6,02;6,58;6,16;4,34;4,55;5,4;5,91;1,02
7,18;8,17;8,37;5,66;5,28;7,29;7,71;1,61
5,42;5,45;6,02;4,14;4,5;5,16;5,1;1,9
5,93;6,2;6,33;3,98;4,76;5,4;5,34;0,87
5,16;4,92;5,85;3,64;4,51;4,86;5,07;0,43
5,53;5,63;5,98;3,93;4,52;5,46;5,29;0,29
6,56;6,92;6,21;3,84;5,31;4,9;6,11;2,34
6;6,26;6,29;4,53;4,83;6,03;5,76;1,61
6,53;6,9;6,66;4,15;5,26;5,9;6,38;2,49
5,48;5,42;6,35;4;4,64;5,55;6,04;1,17
5,94;5,89;6,41;3,98;5,09;5,62;6,17;1,17
5,28;5,08;6,28;4,16;4,59;5,91;5,86;1,61
5,07;4,74;5,89;3,89;4,49;5,24;5,88;3,36
6,03;6,44;5,91;4,23;4,72;5,49;5,62;0,73
5,77;6,05;6,11;4,46;4,59;6,37;5,15;3,36
5,87;6,28;6,16;4,39;4,56;6,26;5,43;1,17
5,91;6,37;6,18;4,56;4,56;6,24;5,96;1,17
5,69;5,96;6,24;4,7;4,52;6,38;5,32;0,58
6,33;6,84;6,37;4,63;4,92;6,55;5,55;0,58
5,67;5,82;6,43;4,6;4,62;6,11;5,53;4,1
6,14;6,7;7,32;5,06;4,67;6,18;6,6;3,36
6,72;7,42;6,99;4,83;5,13;6,06;6,11;1,46
5,67;5,93;6,6;4,42;4,51;5,99;5,76;0,43
5,53;5,67;5,88;4,25;4,49;5,53;5,5;2,49
6,18;6,76;6,01;4,17;4,71;5,68;5,2;1,75
5,84;6,15;5,96;4,43;4,62;5,71;5,58;1,31
5,6;5,81;5,98;4,36;4,49;5,99;5,1;0,43
6,55;6,45;6,69;3,89;5,76;5,84;6,4;1,31
5,59;5,52;6,16;4,4;4,77;6,23;5,79;0,87
6,22;6,4;6,53;4;5,15;5,04;5,7;0,43
6,08;6,5;6,26;4,03;4,75;5,04;5,96;1,46
5,89;6,35;6,09;4,59;4,54;6,41;5,74;0,58
5,44;5,12;6,28;3,89;4,85;5,04;6,26;0,73
5,32;5,06;5,98;4,34;4,67;5,9;5,06;3,66
5,64;5,88;5,98;4,34;4,5;5,66;5,69;0,43
5,17;4,89;6,01;3,95;4,56;5,75;5,24;2,49
5,89;6,39;6,23;4,23;4,5;5,49;5,58;0,58
6,05;6,56;6,08;4,23;4,63;5,48;5,43;0,58
6,1;6,79;6,28;4,79;4,51;6,45;5,82;0,58
5,44;5,38;6,23;4,43;4,59;5,97;5,93;1,9
5,69;5,84;6,14;4,33;4,64;5,48;5,47;2,05
6,31;6,61;6,39;4,32;5,11;5,58;6;2,92
5,44;5,4;6,16;4,03;4,59;5,35;5,27;0,58
6,08;6,41;6,11;4,56;4,85;6,47;5,98;0,73
5,91;6,36;6,03;4,25;4,55;5,43;5,93;0,43
5,69;5,79;5,93;4,02;4,7;5,07;5,08;2,19
6,04;6,39;5,99;4,09;4,79;5,6;5,86;1,17
6,07;6,25;6,94;4,71;5;6,67;6,16;3,22
5,63;5,87;5,93;4,51;4,48;6,32;5,83;1,75
5,68;5,68;6,09;3,87;4,78;5,68;5,75;0,43
5,73;5,63;6,09;3,77;4,93;5,01;5,25;1,61
5,79;6,18;6,03;4,22;4,51;5,27;5,37;0,73
6,31;6,71;6,09;3,85;5;5,35;5,64;1,46
5,52;5,55;6,31;4;4,59;5,05;5,36;0,58
6,02;6,37;6,36;4,22;4,77;5,46;6,18;1,46
6,03;6,03;6,59;3,76;5,13;4,98;6,37;1,61
6,76;7,35;7,11;4,96;5,26;6,32;6,7;3,95
5,67;5,97;5,85;3,99;4,48;5,42;5,01;0,43
5,13;4,86;5,98;3,83;4,5;4,91;5,19;1,61
5,27;5,03;5,92;4,16;4,62;6,13;5,6;1,75
6;6,1;5,89;3,64;5;5,38;5,69;0,73
5,77;5,6;6,58;3,8;5,05;5,35;5,81;2,05
6,45;6,96;6,38;4,26;5,04;5,55;5,51;0,73
5,36;4,95;6,04;3,8;4,86;5,38;5,39;2,63
5,37;5,3;5,95;4,14;4,54;5,6;5,09;0,73
6,2;6,29;5,98;3,39;5,21;5;5,09;0,87
5,34;5,29;5,94;3,95;4,49;5,32;5,5;2,05
5,49;5,17;6,24;3,59;4,9;5,07;5,71;0,43
5,23;5,08;6,04;4,67;4,48;6,64;5,92;1,75
5,68;5,92;6,04;3,79;4,55;4,82;5,31;1,17
6,29;6,88;6,48;4,35;4,79;5,93;6,04;1,02
5,72;6,01;5,95;4,18;4,53;6;5,8;1,17
5,78;5,78;6,14;3,84;4,89;5,72;5,42;0,29
5,78;5,91;6,05;3,81;4,75;5,45;5,52;0,29
5,6;5,68;5,91;4,12;4,61;5,75;5,61;1,61
5,59;5,52;6,07;3,82;4,75;5,49;5,58;1,17
6,04;6,5;6,13;4,46;4,68;5,74;5,33;1,61
5,66;5,94;6,16;4,3;4,48;5,81;6,04;1,61
5,78;6,02;5,95;3,91;4,63;5,26;5,81;1,31
5,92;6,04;6,38;4,2;4,9;5,37;5,55;2,92
5,82;6;6,17;4,38;4,75;6,28;6;1,31
6,25;6,77;6,29;4,74;4,84;6,39;5,79;2,19
6,24;6,87;6,36;4,75;4,71;5,86;6,15;2,19
5,28;5,09;6,06;4,44;4,57;6,26;6,02;1,02
5,18;4,81;5,99;3,56;4,65;4,94;5,47;0,58
6,43;6,97;7,13;4,57;4,98;5,57;6,17;1,9
6,19;6,55;6,13;4,31;4,92;5,55;5,16;1,61
5,43;5,25;6,19;4,19;4,7;5,94;5,5;0,87
5,55;5,62;5,97;3,97;4,57;5,67;5,82;0,29
5,65;5,65;6,17;4,04;4,76;5,13;5,49;3,07
5,6;5,77;6,04;4,28;4,53;5,71;5,75;0,29
6,03;6,27;6,98;4,27;4,89;5,38;6,54;0,73
5,76;5,93;6,09;4,09;4,7;5,53;5,75;0,87
5,5;5,61;5,91;4,54;4,5;6,08;5,33;1,61
5,87;6,23;6,02;4,39;4,62;5,96;5,59;1,9
6,63;7,67;7,02;5,44;4,69;6,76;6,57;0,58
5,52;5,59;6,12;4,05;4,55;5,81;5,72;0,43
5,39;5,35;5,91;4,3;4,54;6,06;5,56;1,31
5,82;6,07;6,04;4,38;4,68;6,14;5,14;1,75
6,25;7,02;6,68;4,79;4,59;5,87;6,47;3,07
5,64;5,81;5,96;4,38;4,58;6,05;5,81;0,58
6,07;6,67;5,96;4,36;4,57;6,11;5,85;1,31
5,62;5,66;5,94;3,76;4,67;4,82;4,97;0,58
5,47;5,48;6,01;4,31;4,57;5,57;5,92;1,75
5,75;5,89;6,03;3,88;4,72;5,6;5,6;0,73
5,98;6,39;6,07;4,19;4,68;5,94;6,05;0,58
6;6,03;6,62;4,46;5,08;6,43;6,61;1,17
5,97;6,3;6,54;4,91;4,74;6,35;6,03;3,51
5,56;5,66;6,33;4,51;4,56;6,38;6,12;2,78
6,03;6,62;5,99;4,85;4,55;6,62;5,29;0,73
5,42;5,39;6,27;4,03;4,55;5,09;5,75;0,73
6,05;6,36;5,95;4,01;4,85;5,25;5,23;1,46
6,07;6,63;6,15;4,87;4,61;6,57;5,31;0,43
5,65;5,56;6,11;4,01;4,84;5,54;5,42;0,87
6,5;7,3;7;5,01;4,8;6,83;6,61;2,34
6,05;6,26;6,21;4,38;4,93;6,09;5,28;3,66
5,61;5,72;6,07;4,54;4,6;6,28;5,68;1,17
6,3;6,64;6,55;4,29;5,07;6,18;6,37;0,73
5,75;5,69;6,06;3,88;4,92;5,4;5,1;1,9
6,03;6,37;6,23;4,69;4,8;6,58;5,76;0,58
5,6;5,75;5,97;4,16;4,54;5,19;5,5;1,02
5,88;6,09;5,97;4,21;4,77;6,1;5,82;0,29
6,05;6,56;6,3;4,32;4,63;5,48;5,41;1,61
5,15;4,87;6,06;3,73;4,53;4,9;5,19;0,43
5,54;5,65;5,95;3,93;4,54;5,33;5,85;1,17
7,1;7,51;7,82;4,8;5,79;6,76;7,41;1,9
5,4;5,08;6,16;3,53;4,82;4,63;5,84;0,58
5,45;5,29;6,03;3,75;4,72;5,34;5,52;1,61
5,72;5,95;6,08;4,76;4,59;6,62;6,03;1,61
5,48;5,53;6,27;4,18;4,53;5,55;6,21;1,75
6,06;6,68;5,93;4,83;4,54;6,75;5,54;0,29
6,49;6,81;6,24;3,58;5,27;5,08;6;1,31
6,01;6,53;5,99;4,6;4,59;5,72;5,93;2,34
6,09;6,66;6,07;4,84;4,62;6,73;5,37;0,29
5,34;5,23;6,14;4,06;4,55;5,63;5,94;0,58
5,8;5,78;6,73;3,94;4,92;5,23;5,8;2,34
5,23;4,96;6,1;4,44;4,59;6,37;6,02;1,75
5,34;5,12;6,06;3,78;4,66;5,03;6,01;3,36
5,71;5,86;6,04;3,73;4,65;4,75;5,61;1,17
6,18;6,78;6,02;4,41;4,67;5,42;6;1,61
6,12;6,77;6;4,7;4,56;6,18;5,73;0,87
5,74;5,88;6,11;4,03;4,7;5,14;5,39;0,73
6,01;6,58;5,87;4,76;4,53;6,24;5,61;1,17
5,54;5,67;6,25;4,38;4,51;5,42;5,48;0,58
5,82;6,17;5,97;3,98;4,58;5,07;5,01;0,29
5,86;6,26;5,96;4,53;4,55;6,31;5,72;1,75
5,26;5,07;6,27;4,4;4,55;6,02;5,65;4,24
6,29;6,51;6,45;4,04;5,18;5,82;6,09;1,17
5,92;6,4;6,61;5,18;4,53;7,07;6,47;1,75
5,36;5,22;6,27;4,22;4,59;5,86;6;0,43
6,43;6,95;6,5;4,56;5,01;6,14;6,05;1,9
6,06;6,64;5,99;4,25;4,59;5,31;5,24;1,17
5,16;4,93;5,92;3,47;4,49;4,59;5,09;0,29
6,01;6,6;6;4,72;4,53;6,42;5,1;1,75
5,41;5,33;6,05;4,4;4,59;6,02;5,06;0,73
6,29;6,37;6,42;3,72;5,31;5,54;5,64;0,73
6,04;6,44;6,12;4,36;4,75;5,63;5,84;1,46
6,3;6,93;6,17;4,83;4,76;6,48;5,96;3,95
6,46;6,86;8,03;5,25;5,16;6,83;7,06;3,51
6,05;6,64;5,95;4,95;4,56;6,79;5,62;1,46
6,09;6,46;6,44;4,72;4,81;6,3;5,96;1,17
5,19;4,98;5,91;3,54;4,49;4,63;5,14;1,17
5,93;6,32;6,02;4,57;4,65;6,53;5,1;4,24
6,91;7,73;7,38;4,97;5,19;6,27;6,52;4,1
5,16;4,89;5,99;3,59;4,53;4,64;5,9;0,58
6,44;6,72;6,48;4,06;5,26;5,97;5,66;1,46
5,11;4,81;5,97;4,46;4,51;6,41;5,11;0,73
6,15;6,75;6,19;4,65;4,65;6,22;6,06;0,73
6,11;6,51;6,99;5,07;4,81;6,98;6,98;1,75
5,5;5,52;6,24;4,01;4,59;5,14;5,64;1,9
5,63;5,87;5,86;4,07;4,49;5,32;5,6;1,61
5,4;5,4;6,02;4,45;4,49;5,73;5,54;1,9
6,18;6,45;6,72;4,61;5,01;6,17;6,03;3,07
5,88;6,29;6,34;4,63;4,57;6,3;6,03;0,87
5,5;5,2;6,09;3,92;4,91;5,51;5,35;1,9
5,38;5,29;5,98;3,94;4,56;5,05;5,25;1,75
6,92;6,43;6,96;2,68;6,51;4,47;6,17;3,22
6,07;6,43;6,3;4,68;4,81;6,5;5,45;0,87
5,57;5,75;5,92;4,63;4,5;6,01;5,75;2,63
5,82;6,03;6,19;4,37;4,72;5,84;5,82;0,73
6,54;7,45;6,78;5,22;4,73;7,09;6,06;1,9
6,98;7,56;7,08;4,51;5,51;6,04;6,64;2,63
6,48;6,88;7,76;4,93;5,18;6,12;7,73;2,78
6,29;6,64;7,11;4,43;5,05;6,12;6,17;0,73
5,97;6,5;6,03;4,15;4,55;5,24;5,2;0,43
5,52;5,57;6,05;4;4,57;5,42;5,4;2,19
5,75;5,65;6,63;4,11;4,95;5,9;5,85;0,43
5,21;4,92;6,04;4,15;4,6;5,35;5,19;3,07
5,55;5,61;6,22;4,03;4,59;5,34;5,7;0,58
6,05;6,26;6,62;4,39;4,94;5,81;5,82;0,43
5,96;6,37;6,41;4,56;4,64;6,28;6,33;1,9
5,42;5,42;6,07;4,35;4,52;6,08;5,88;1,17
5,36;5,21;5,95;3,83;4,6;5,71;5,66;0,29
6,43;6,84;6,67;4,27;5,13;5,75;6,51;1,31
5,77;5,98;6,07;4,05;4,65;5,59;5,16;1,61
5,18;4,79;5,95;4,18;4,66;5,84;5,21;2,63
6,32;6,39;6,59;4,04;5,35;5,27;6,03;3,66
5,88;6,37;5,85;4,24;4,49;5,75;5,62;0,43
6,18;6,79;6,1;4,2;4,67;5,32;5,48;0,87
6,16;6,8;6,94;4,92;4,62;6,1;6,4;1,75
5,25;4,97;6,13;3,95;4,63;5,45;5,4;1,31
5,48;5,52;6,09;4,24;4,55;5,64;5,15;0,29
5,84;5,98;6,09;3,75;4,8;4,94;5,47;1,17
5,75;6,03;5,86;4,56;4,56;6,53;5,75;1,9
6,13;5,96;6,63;3,52;5,4;5,04;6,61;0,58
5,51;5,62;6,6;4,49;4,5;6,39;6,13;0,73
5,38;5,25;6,08;4,38;4,61;6,35;5,37;2,63
5,81;6,06;5,99;4,29;4,67;6,21;5,73;1,31
6,08;6,75;5,99;4,67;4,51;6,41;5,35;2,49
5,56;5,6;6,06;4,05;4,62;5,51;5,68;1,02
5,26;5,14;5,9;3,82;4,49;5,04;4,93;0,58
6,45;6,85;6,07;4,41;5,16;6,39;5,86;2,05
5,7;5,83;6,12;4,38;4,67;5,58;5,13;2,34
5,85;6,24;6;4,51;4,57;6,33;5,88;0,43
6,28;6,76;6,04;4,33;4,91;6,01;5,91;1,75
5,98;6,47;5,96;4,28;4,59;5,87;5,6;1,02
5,8;6,11;5,91;3,92;4,59;5,21;5,74;0,58
8,84;7,94;7,67;0,94;8,84;2,37;7,56;2,92
5,47;5,43;6,53;4,78;4,6;6,41;5,96;3,8
6,24;6,78;6,28;4,45;4,79;6,12;6,26;3,07
5,4;5,41;5,98;3,82;4,49;5,25;5,98;0,58
5,89;5,95;6,22;3,73;4,94;5,18;5,82;0,43
5,45;5,51;5,86;4;4,48;5,25;5,33;0,87
5,28;4,92;5,91;3,61;4,75;5,53;5,03;0,43
5,65;5,7;6,06;4,66;4,7;6,64;5,57;3,07
6,76;6,12;6,85;2,26;6,51;3,65;6,39;2,49
5,48;5,47;6,05;4,3;4,59;5,85;5,7;0,29
5,8;6,02;6,23;4,34;4,69;6,27;6,04;1,61
5,73;5,86;6,16;4,33;4,7;5,71;5,77;1,17
5,82;6,17;6,2;4,47;4,58;6,21;5,24;2,49
6,3;6,35;6,78;4,36;5,35;6,29;5,9;0,87
5,99;6,5;6;4,37;4,57;5,84;5,27;0,58
5,98;6,51;6,13;4,62;4,55;5,89;5,9;2,49
6,03;6,62;5,98;4,72;4,53;6,39;5,66;0,43
5,28;5,1;5,96;4,11;4,55;5,99;5,83;0,87
5,33;5,2;5,89;3,99;4,56;5,47;4,91;3,51
6,01;6,47;5,98;4,35;4,66;6,29;5,75;1,46
5,75;5,79;6,47;4,48;4,81;5,75;6,11;2,05
8,68;8,88;8,45;3,28;7,57;4,94;7,71;2,05
6,13;6,87;6,19;4,65;4,5;5,8;5,76;1,46
6,22;6,91;6,14;4,69;4,63;6,68;6,1;1,17
5,97;6,46;5,92;4,43;4,57;6,15;5,72;0,87
6,22;6,93;6,34;4,58;4,6;6,18;5,55;1,02
6,75;7,07;7,01;4,01;5,53;5,87;6,98;1,61
5,49;5,6;6,09;4,41;4,49;5,85;5,8;0,58
6,22;6,51;6,44;4,69;5,03;6,67;5,91;2,63
5,63;5,72;6,2;4,54;4,63;6,1;6,15;2,05
6,12;5,68;6,4;3,04;5,65;4,16;6,15;1,46
5,38;5,3;6,37;4,55;4,56;6,39;5,92;0,58
5,49;5,53;5,93;4,15;4,54;5,77;5,82;1,46
5,59;5,72;6,01;4,4;4,56;5,54;5,48;3,07
8,53;9,95;9,95;5,54;6,21;6,77;9,09;0,73
6,25;7;6,22;5,21;4,6;7,05;5,95;1,46
5,87;6,3;5,9;4,01;4,55;5,46;5,69;0,29
5,6;5,59;6,21;4,3;4,72;6,29;5,99;2,19
5,06;4,73;5,87;3,61;4,5;4,8;5,59;1,46
5,32;5,21;6;4,3;4,53;6,08;5,94;0,43
5,93;6,31;6,19;4,33;4,64;5,35;5,31;0,73
5,92;6,46;5,89;4,31;4,48;5,48;5,27;1,46
6,63;6,49;6,53;2,96;5,87;4,17;6,13;1,17
5,95;6,45;7,01;4,99;4,55;6,43;6,8;1,17
6,29;6,81;6,32;4,35;4,88;5,4;5,87;2,49
5,94;6,45;6,15;4,02;4,54;5,07;5,37;0,58
6;6,06;7,21;4,48;5,04;6,09;6,49;1,75
5,27;4,85;5,91;3,56;4,79;5,09;4,92;0,43
5,24;5,1;5,92;4,1;4,48;6,01;5,31;1,31
5,24;5,02;5,86;3,47;4,57;4,48;5,38;0,73
6,22;6,83;6,24;4,28;4,71;5,37;5,9;1,31
5,25;5,11;6,12;4,24;4,49;5,95;6,04;3,51
5,36;5,01;5,95;3,38;4,81;4,61;5,27;2,92
5,77;6,01;5,97;4,11;4,62;5,28;5,79;2,05
5,27;5,09;5,92;4,16;4,55;5,93;5;1,61
6,65;6,81;6,18;3,29;5,58;4,75;5,93;1,61
5,58;5,61;6,06;4,14;4,65;5,29;5,91;0,87
5,6;5,42;6,29;4,02;4,87;5,6;5,6;1,9
5,41;5,32;6,1;4,33;4,61;5,9;5,36;0,87
5,96;6,48;6;4,9;4,54;6,48;5,58;2,78
5,85;6,31;5,88;4,8;4,5;6,53;4,88;0,87
5,51;5,46;6,08;4,69;4,67;6,67;5,97;2,49
5,38;5,22;6,15;3,98;4,64;5,96;5,94;0,58
5,95;6,47;5,89;4,24;4,54;5,94;4,99;1,17
5,59;5,41;6,08;3,96;4,86;5,59;5,57;1,31
6,57;6,46;7,25;4,16;5,77;5,77;6,37;3,22
5,78;5,34;6,35;3,54;5,32;4,66;6,19;2,05
5,58;5,73;5,93;3,81;4,53;5,16;5,21;0,73
5,99;6,34;6,63;4,49;4,75;6,02;5,64;0,29
5,52;5,63;5,97;4,2;4,51;5,81;5,32;0,73
6,16;6,85;6,36;4,73;4,57;6,21;5,81;0,29
5,63;5,85;5,97;4,36;4,52;5,39;5,21;1,75
5,8;6,09;6,26;4,46;4,6;5,72;5,94;0,87
5,89;6,35;5,95;4,25;4,53;5,38;5,61;1,02
5,38;5,29;5,96;4,32;4,58;5,88;5,18;2,34
6,84;6,85;6,83;3,58;5,94;4,83;6,45;4,54
6,66;7,41;7,04;4,63;5,01;6,06;6,54;0,43
6,08;6,75;6,44;4,57;4,51;5,86;6,28;1,02
5,67;5,72;6,39;4,16;4,71;5,33;5,51;1,46
5,82;6;6,04;3,95;4,74;5,47;5,85;1,31
5,96;6,39;5,95;4,1;4,64;5,52;5,09;0,58
5,74;6,02;6,04;4,18;4,57;5,95;5,18;0,87
5,98;6,36;6,13;4,51;4,71;5,86;5,76;0,58
7,12;8,03;8,18;5,46;5,3;6,74;7,29;1,46
6,17;6,52;6,31;4,57;4,92;6,32;5,57;1,75
6,08;6,45;6,78;4,31;4,82;5,47;6,32;2,34
6,23;6,75;5,99;4,26;4,82;5,31;5,75;0,58
6,32;7,21;6,43;5,2;4,53;6,93;5,83;1,61
5,31;5,2;6;4,51;4,52;6,23;5,48;2,05
6,02;6,12;6,05;4,35;5,01;6,11;5,76;4,1
6,05;6,46;7,26;5,21;4,74;6,87;6,63;3,8
6,07;6,37;6,01;3,96;4,87;5,16;5,21;2,78
6,12;6,8;6,33;4,74;4,54;6,15;6,16;0,87
5,15;4,88;5,97;3,98;4,52;5,23;5,12;0,43
6,82;7,59;7,64;5,08;5,14;6,61;7,38;1,31
5,5;5,33;6,1;4,05;4,76;5,73;5,17;2,49
5,63;5,83;6,31;4,62;4,52;6,05;6,11;1,75
5,97;6,4;6,61;4,99;4,64;6,72;5,7;0,87
5,43;5,48;5,91;4,08;4,47;5,95;5,15;0,29
6;6,59;5,86;4,44;4,5;5,93;5,66;1,31
5,24;4,93;5,97;3,95;4,65;5,66;4,97;1,02
6,25;6,9;6,11;4,87;4,69;6,49;5,96;1,46
6,69;6,99;6,7;4,29;5,48;5,84;5,93;2,63
6,08;6,08;6,91;4,52;5,18;6,29;6,78;2,34
5,3;5,03;5,94;3,87;4,68;5,16;4,99;0,58
5,32;5,12;6,03;4,04;4,62;5,13;5,62;2,05
7,02;7,53;7,23;4,17;5,62;5,75;7,1;0,43
6,34;6,64;7,51;4,84;5,14;6,73;6,6;0,43
8,23;7,68;7,81;2,17;7,88;3,97;7,78;2,34
6,27;6,18;6,47;3,71;5,46;5,5;5,8;3,22
5,4;5,36;5,94;3,85;4,54;5,09;5,45;1,61
6,08;6,44;5,97;4,15;4,82;5,29;5,05;2,05
5,62;5,22;6,24;3,61;5,12;5,51;6,06;2,19
5,72;5,69;6,12;3,92;4,84;5,88;6,06;0,58
6,25;6,79;6,54;4,37;4,82;5,82;6,05;2,63
6,11;6,3;6,21;4,52;5,01;6,44;5,27;2,78
5,42;5,24;6,14;3,61;4,7;4,9;5,38;1,46
6,45;6,97;6,23;4,25;5,04;5,73;5,64;2,34
5,63;5,83;6,1;4,3;4,53;5,51;5,12;1,9
6,09;6,63;7,29;5,23;4,66;7,09;6,87;2,63
5,82;5,88;6,12;4,28;4,86;5,63;5,66;4,1
6,02;6,61;5,91;4,64;4,54;6,09;5,69;0,58
5,89;6,31;6,16;4,33;4,57;6,21;5,59;0,58
5,44;5,49;5,93;4,18;4,5;5,47;5,26;0,58
5,61;5,73;6,01;3,7;4,6;4,94;5,81;0,43
6,55;7,17;6,45;4,78;5,04;6,33;6,01;3,66
9,07;9,42;9,35;3,81;7,83;5,26;8,54;4,1
5,74;6,06;6,03;4,15;4,52;5,31;5,51;0,43
5,41;5,38;5,93;4,13;4,53;5,29;5,9;0,29
6,23;6,88;6,28;4,6;4,68;6,09;5,72;1,02
6,14;6,79;6,04;4,51;4,6;5,74;5,21;0,73
5,64;5,84;6,24;4,32;4,55;5,62;5,83;0,73
6,02;6,61;5,91;4,44;4,53;6,26;5,76;0,29
5,69;5,92;5,99;4,16;4,56;5,93;5,78;0,29
5,61;5,63;6,57;4,49;4,68;6,26;6,31;2,63
6,16;6,87;6,23;4,66;4,54;6,33;5,75;0,58
5,27;5,08;6,14;4,36;4,56;6,08;5,32;1,02
6,82;7,3;6,59;3,83;5,44;4,96;5,97;2,63
5,61;5,73;6,01;3,99;4,59;5,04;5,71;3,22
5,29;5,02;6,08;4,06;4,66;5,44;6,01;0,73
5,3;5,22;6;4,3;4,48;6,06;5,52;0,58
5,72;5,95;5,97;4,13;4,59;5,91;5,72;1,75
5,62;5,81;5,99;4,12;4,54;5,36;5,55;1,46
5,49;5,2;6,04;3,72;4,89;5,36;5,43;2,63
5,46;5,49;6,03;4,65;4,52;6,46;5,14;2,19
7,58;9,29;8,97;6,3;4,96;7,32;8,71;2,19
6,77;6,96;6,5;3,33;5,68;4,6;6,17;2,34
6,57;7,14;6,46;3,98;5,09;5,12;5,74;1,61
6,84;7,99;7,31;5,65;4,78;7,6;6,73;1,02
6,11;6,74;6,27;4,34;4,58;5,69;5,91;0,58
5,14;4,81;5,97;4,03;4,57;5,59;5,43;0,43
6,52;7;7,61;4,6;5,14;5,76;7,58;3,66
6,28;7,01;6,22;5,07;4,65;6,46;5,67;3,07
5,85;6,24;6,41;4,97;4,55;6,77;6,16;3,95
5,53;5,68;5,93;4,64;4,49;6,44;5,72;0,58
5,96;6,44;6,11;4,21;4,59;5,77;5,33;0,87
5,96;6,38;6,62;4,82;4,64;5,98;6,19;1,9
6,3;6,92;6,33;4,6;4,79;6,37;5,89;1,31
5,38;5,26;5,91;3,74;4,59;4,8;4,92;1,61
5,81;6,1;5,99;4,25;4,62;6,04;5,75;1,61
5,61;5,6;6,28;4,37;4,73;5,98;5,5;0,43
6,06;6,64;6,92;4,85;4,59;6,4;6,05;0,43
6,84;7,52;6,86;4,33;5,26;5,89;6,14;1,61
6,04;6,7;5,97;4,6;4,48;5,98;5,45;3,07
5,85;6,28;5,91;4,21;4,52;5,32;5,2;0,29
6,08;6,5;6,5;4,27;4,76;5,82;5,67;1,02
